Wavelength	Xsec_4
190.23259	5.594505528746254e-18
192.60254	4.337202325130494e-18
192.78784	3.9299365827568924e-18
192.78874	4.019943877888968e-18
192.78963	4.161610261080876e-18
192.79053	4.267326166787452e-18
192.82817	2.380162971589084e-18
192.82907	2.88167999822438e-18
192.82996	3.81346783058793e-18
192.83086	4.951744277430196e-18
192.83445	4.012825463790381e-18
192.83534	3.098680901585053e-18
192.83624	2.491879910679532e-18
192.83714	2.411410669486821e-18
192.83983	4.4822491511949276e-18
192.84969	3.877275983461414e-18
193.48659	4.097972520065167e-18
193.50465	5.180444401354637e-18
193.50555	5.407129952717132e-18
193.50645	5.833062556331877e-18
193.50735	6.273826325871782e-18
193.50826	6.5555198741093934e-18
193.51458	4.755102034890781e-18
193.66004	2.3430394972041534e-18
193.66094	3.0629036403216837e-18
193.66185	4.155651989290421e-18
193.66275	5.0556121126837766e-18
193.66365	4.7681583268914154e-18
193.66456	4.322908922269745e-18
193.66546	4.1966556671889665e-18
193.76317	4.859784077561686e-18
193.76769	4.795954011876672e-18
193.82021	2.6247562541008744e-18
193.82111	2.6459147772967055e-18
193.82202	2.8106304135639475e-18
193.82293	2.9836609774514868e-18
193.82383	3.093991284453372e-18
193.82474	3.0737481707190376e-18
193.82564	3.1028043257944064e-18
193.94618	2.991738547876231e-18
193.94709	2.9411698654798113e-18
193.94799	3.088063892198579e-18
193.9489	3.1856751758295968e-18
194.06959	3.7473136738386804e-18
194.0705	4.27534233939376e-18
194.0714	4.7000474213293674e-18
194.07231	4.968696667522183e-18
194.07322	4.9662223789939645e-18
194.07413	4.813227258177155e-18
194.07504	4.865697713581737e-18
194.07594	5.2851078563580115e-18
194.07685	5.8267616535129615e-18
194.07776	5.918868275002036e-18
194.07867	5.03695916569736e-18
194.31324	4.474678590344224e-18
194.31415	4.1736756631815104e-18
194.31506	3.810408022984295e-18
194.31597	3.472707784730131e-18
194.36058	5.695246326653628e-18
194.36149	5.573311625954656e-18
194.36241	4.4675252796964414e-18
194.36332	4.038070749882752e-18
194.36423	4.4254138926611485e-18
194.37242	6.2849947852699826e-18
