Wavelength	Xsec_1
190.03127	1.324640228018134e-17
191.07561	7.689386762091834e-18
191.07649	7.410890571069288e-18
191.08529	1.1889309517331209e-17
191.08617	1.0989216133273565e-17
191.60254	1.2643967162574476e-17
191.60342	1.3517301952865612e-17
192.06832	9.11217634197465e-18
192.06921	8.109645482986399e-18
192.0701	7.660271954797627e-18
192.78874	1.3378096347387899e-17
192.78963	1.4536197862960066e-17
192.79053	1.3648185891953637e-17
192.79143	1.1462256800649526e-17
192.79232	9.189491101255027e-18
192.8219	8.242942459939899e-18
192.82279	9.312283766931205e-18
192.82369	1.0077315483169789e-17
192.82459	1.1001789688786079e-17
192.82548	1.2213509943332082e-17
192.82638	1.276472333310566e-17
192.82728	1.2176348273782539e-17
192.82817	1.0426649431939493e-17
192.82907	7.982256226838678e-18
192.83534	6.294882270240548e-18
192.83624	6.885719631286109e-18
192.83714	6.754343487551377e-18
193.0795	8.58470322569823e-18
193.0804	1.0749122759944088e-17
193.08129	1.1716779775193719e-17
193.08219	1.1336220414302029e-17
193.08309	1.0303975486328477e-17
193.2135	1.2545170352828532e-17
193.2144	1.315261993078265e-17
193.2153	1.2958297953480078e-17
193.46403	1.0564546558383345e-17
193.46493	1.1479050865502929e-17
193.46584	1.1882212094423116e-17
193.46674	1.1657556171836762e-17
193.46764	1.1354082389446631e-17
193.46854	1.1056038563306748e-17
193.46945	1.057266312620805e-17
193.48388	1.0014449100364872e-17
193.48479	8.781922004533498e-18
193.48569	8.14960885572813e-18
193.51277	1.1288348407939258e-17
193.51367	1.2724535120429165e-17
193.51458	1.2521470333047081e-17
193.51548	1.101655119515204e-17
193.66094	4.310488360843103e-18
193.76407	9.28489665022456e-18
193.76498	9.98885110835541e-18
193.76588	1.0594176280068082e-17
193.76679	1.0002345910113808e-17
193.82111	6.345695598233143e-18
193.82202	7.354320672427672e-18
193.82293	7.320826850646072e-18
193.82383	6.656703930534437e-18
193.82474	5.996536391201372e-18
193.94799	3.724708338188585e-18
194.31415	7.865129163704575e-18
194.31506	8.61426944446137e-18
194.31597	8.7129861911839e-18
194.35239	1.1327716160911057e-17
194.3533	1.198137130449055e-17
194.35421	1.1229711112235186e-17
194.35512	9.682992542473294e-18
194.35603	7.959511825403604e-18
194.38062	8.478290059184934e-18
194.38153	9.323925453185872e-18
194.47905	7.237067747560047e-18
194.47996	7.365048576560736e-18
194.48087	6.957274053029397e-18
194.7091	1.0698768481800812e-17
194.71002	1.049220905576641e-17
194.79048	9.60576274419604e-18
194.7914	1.1222747677633882e-17
194.79231	1.2588464233848082e-17
194.79323	1.3734895232198687e-17
