Wavelength	Xsec_2
190.21863	9.810215231889308e-18
190.2291	9.705428307836608e-18
190.22997	9.064076040352792e-18
190.23085	8.290969529081643e-18
190.95334	8.343767421899177e-18
191.07561	5.6203894744185854e-18
191.08265	6.445852337861757e-18
191.24564	4.1027081455321695e-18
191.60077	6.849282126778262e-18
191.60165	6.567108372564553e-18
191.60254	5.8985821062638895e-18
192.06743	9.068308354356609e-18
192.3364	9.268745060203156e-18
192.33729	1.0392062851118113e-17
192.33818	1.0554422465929699e-17
192.33907	9.940390966852211e-18
192.33997	8.884087826205036e-18
192.34086	7.856831995171197e-18
192.50868	7.197857615550554e-18
192.60254	6.876186744194817e-18
192.60343	6.4278154311190716e-18
192.79053	6.0805695156693e-18
192.79143	6.307990465551938e-18
192.79322	5.5505068703088855e-18
192.81473	8.071321728158854e-18
192.81562	8.702644023014802e-18
192.8201	6.8073912043013345e-18
192.821	6.458570303476979e-18
192.8219	6.1650253728776696e-18
192.82279	5.830816729327808e-18
192.82369	5.564099258919499e-18
192.82459	5.293704470133039e-18
192.82548	5.14708643991494e-18
192.82638	4.9675707600429925e-18
192.82728	4.789579940574423e-18
192.82817	4.525076859932078e-18
192.82907	4.3064720351481036e-18
192.82996	4.261221940242123e-18
192.83086	4.493703282070109e-18
192.83176	4.836521029715276e-18
192.83265	5.062567644202378e-18
192.83355	4.899980681228192e-18
192.83445	4.439763452369473e-18
192.83534	4.052962022753689e-18
192.83624	3.914735859895017e-18
192.83714	3.921180652452419e-18
192.83803	3.9381163470146935e-18
192.83893	3.652803322792516e-18
192.847	6.4987223222109624e-18
192.8479	5.607151395736545e-18
193.0804	5.701156560624982e-18
193.08129	7.678525423952717e-18
193.2162	1.1752943777351544e-17
193.2171	1.0774546610269853e-17
193.218	1.0708720004466145e-17
193.33418	1.388446444843794e-17
193.46403	8.173716353378917e-18
193.46493	8.486290983483483e-18
193.46584	8.305462138127912e-18
193.46674	7.855255289855828e-18
193.46764	7.543893699428123e-18
193.47576	7.69162799632003e-18
193.48388	5.0657444818142414e-18
193.48479	5.0470351498743545e-18
193.48569	5.102564687278912e-18
193.48659	5.234075636384712e-18
193.48749	5.519152772175009e-18
193.50735	6.959318416123852e-18
193.50826	8.582349054575869e-18
193.50916	9.962559100826007e-18
193.51006	1.0890795659346803e-17
193.51367	1.0486159904569996e-17
193.51458	8.872858139973366e-18
193.51548	7.539834325591787e-18
193.51638	6.638387969026288e-18
193.65913	3.870594128736544e-18
193.66004	3.2518307391200126e-18
193.66094	3.0571799006957887e-18
193.66185	3.5400631220510506e-18
193.66275	4.454319886567155e-18
193.66365	5.602368691080433e-18
193.66456	6.338575359853098e-18
193.66546	6.510964965995693e-18
193.66637	6.43962841080397e-18
193.6727	9.78878082690505e-18
193.6736	9.525799299943836e-18
193.76226	6.1036077282499355e-18
193.76317	7.118671274409787e-18
193.76407	8.002481601306444e-18
193.76498	8.545396475040212e-18
193.76588	8.88831140849919e-18
193.76679	8.874052963591155e-18
193.76769	8.5199933569349e-18
193.7686	7.911422262148989e-18
193.80119	5.371570379219785e-18
193.8021	6.509893822672139e-18
193.803	7.846633495517233e-18
193.80391	9.068308173763631e-18
193.80481	9.765411425153566e-18
193.8193	5.544875867802246e-18
193.82021	5.5267427095753356e-18
193.82111	5.272203922242084e-18
193.82202	4.871462100018691e-18
193.82293	4.597485967215485e-18
193.82383	4.501588380143174e-18
193.82474	4.51112829471798e-18
193.82564	4.568735147151274e-18
193.94709	4.2522203816287345e-18
193.94799	4.0027616402514104e-18
193.9489	3.4674900190620878e-18
193.94981	2.7766182441639233e-18
194.07413	5.61343521149186e-18
194.07504	6.566416606989463e-18
194.07594	7.431987512985041e-18
194.07685	8.114003800326552e-18
194.07776	8.588372703660713e-18
194.07867	8.617060321836523e-18
194.07958	7.950114514693288e-18
194.08048	6.861599529672047e-18
194.23226	4.3065500245342286e-18
194.23317	5.460124719705663e-18
194.23408	6.849985240079101e-18
194.23498	8.23141454318984e-18
194.2368	9.824295083160956e-18
194.35603	7.686134906375767e-18
194.35694	6.623872034630493e-18
194.35785	6.299545471848887e-18
194.35876	6.820274190248044e-18
194.35967	7.818309822000785e-18
194.36058	8.877203135426581e-18
194.36149	9.747166308055403e-18
194.36241	1.0419491076487375e-17
194.36332	1.0614107945651117e-17
194.36423	1.0160319018752091e-17
194.36514	9.62222088816737e-18
194.36605	9.226196616865192e-18
194.36696	8.932504456981088e-18
194.36787	8.68019389618739e-18
194.36878	8.248358222987556e-18
194.36969	7.34077863380404e-18
194.3706	6.4299461863540505e-18
194.37151	5.966684269032598e-18
194.37242	5.945403970693334e-18
194.37333	6.116312950028088e-18
194.37425	6.251818214147557e-18
194.37516	6.120296842226339e-18
194.37607	5.6490708102004134e-18
194.37698	4.970422394782718e-18
194.37789	4.4480479781897734e-18
194.38062	4.635718944521517e-18
194.38153	5.2282813118271264e-18
194.46537	8.328292994549137e-18
194.46629	8.337272158994665e-18
194.47267	7.061521650265712e-18
194.47358	8.559956043384066e-18
194.47449	1.0090390002057217e-17
194.4754	1.1108435388789755e-17
194.47814	1.086339040928537e-17
194.47905	9.81664196062524e-18
194.47996	8.880832239626961e-18
194.48087	8.493868239830114e-18
194.48179	8.443567649012388e-18
194.51279	1.1366102133421065e-17
194.51371	8.713372289072147e-18
194.57393	8.448165703401988e-18
194.57484	9.653815324072527e-18
194.57575	1.0490800126681656e-17
194.57667	9.651931805945442e-18
194.57758	7.239550316588801e-18
194.65063	7.635541818787685e-18
194.65154	8.56332618207573e-18
194.65428	9.511427852871696e-18
194.65519	9.177415665599514e-18
194.65611	8.794702672114102e-18
194.65702	8.408234796192753e-18
194.65793	7.939655976399698e-18
194.67072	6.595234932929764e-18
194.67164	7.419335318635092e-18
194.67255	7.974432862446807e-18
194.67347	8.148248439393141e-18
194.67438	7.753278964156613e-18
194.67895	1.0628944802140433e-17
194.69996	9.44181070870098e-18
194.70088	9.443935515982034e-18
194.70179	9.741665058073787e-18
194.70271	1.0330263984788588e-17
194.70545	1.3314995749637944e-17
194.70636	1.3104209804444836e-17
194.70728	1.0954446262709309e-17
194.70819	8.18293881883928e-18
194.7091	6.033089462491191e-18
194.71367	4.4769060944412056e-18
194.71459	4.617133907791753e-18
194.7155	5.043229134044051e-18
194.71642	5.707248028532182e-18
194.71733	6.400870310125224e-18
194.72921	9.168175200531613e-18
194.73013	1.0075180206069884e-17
194.73104	1.0201568896889769e-17
194.73196	9.550885530309607e-18
194.73287	8.560492155140012e-18
194.78682	8.966107831780139e-18
194.79048	1.0627319125694398e-17
194.7914	9.299467880774713e-18
194.79231	7.95012010950077e-18
194.79323	6.964047765663391e-18
194.81519	1.2379251793664818e-17
194.83166	1.1774003242091513e-17
194.83257	1.1150118319638015e-17
194.83349	1.1125726457729492e-17
194.84081	1.3252223408978963e-17
194.84172	1.41640419700286e-17
194.87102	1.322455822655377e-17
194.87193	1.1453338230905344e-17
194.87285	9.781631969691431e-18
194.87834	1.0165498137968395e-17
194.87926	9.838296146477238e-18
194.88475	9.346963655234193e-18
194.88567	9.564815823371376e-18
194.88658	1.0266575818755201e-17
194.8875	1.0939738089563292e-17
194.88841	1.0891011024375452e-17
194.88933	9.5026624792962e-18
194.89024	8.19224215903982e-18
194.89116	7.52304586267446e-18
194.89208	7.257940280080887e-18
194.89299	7.298898545042191e-18
194.89391	7.635665994406343e-18
194.89482	8.001332873447501e-18
194.89574	8.216395950692268e-18
194.89665	8.2317166759389e-18
194.92688	8.188424129950947e-18
194.92779	8.955131433684918e-18
194.92871	9.893377431507076e-18
194.92963	1.0926874487773168e-17
195.04604	7.628452781631312e-18
195.04695	7.696187221577568e-18
195.04787	8.039122761446584e-18
195.04879	8.186383161407983e-18
195.07355	1.0582170300444312e-17
195.07447	1.1119899615546418e-17
195.09741	6.320746757286478e-18
195.09833	6.3067443283930456e-18
195.09925	5.811749490307184e-18
195.10383	4.414151793925564e-18
195.10475	5.543671864056443e-18
195.10567	6.424255114512344e-18
195.10659	6.5364311358222385e-18
195.18922	6.326879831650167e-18
195.19014	6.2320698412207596e-18
195.19106	6.23272086306388e-18
195.19197	6.4705387751877266e-18
195.19289	6.941927942307553e-18
195.19381	7.401306390614342e-18
195.19657	8.272675060846887e-18
195.21953	5.362147487465319e-18
195.22045	5.915354051897853e-18
195.22137	5.6489791505628174e-18
195.22229	5.196168639778671e-18
195.22321	5.0740906987691704e-18
195.22413	5.209230119998071e-18
195.22505	5.297325274282171e-18
195.22597	5.19047927241344e-18
195.22688	5.228204716892322e-18
195.2278	5.6593861227181776e-18
195.22872	6.433187731592242e-18
195.22964	7.366674816421995e-18
195.23056	8.010721608180409e-18
195.30686	7.479674038819307e-18
195.30778	7.215479316876268e-18
195.3087	6.511795791930753e-18
195.30962	5.639244302134305e-18
195.31054	4.774369364462375e-18
195.37401	9.427928045685795e-18
195.37493	8.30875628475107e-18
195.37585	7.374095914377965e-18
195.37677	7.005150523007998e-18
195.37769	7.276450965098592e-18
195.37861	7.890807303391896e-18
195.40899	5.530406725074993e-18
195.44398	7.297055466044973e-18
195.4449	8.844243788726263e-18
195.44582	1.0152287648153029e-17
195.44674	1.0805776301839717e-17
195.44766	1.0651181057578562e-17
195.44858	9.87570351394488e-18
195.53058	3.324827964055888e-18
195.60527	6.3834973328181586e-18
195.60619	6.870157988402584e-18
195.60711	7.304125481133318e-18
195.60804	7.320675307438921e-18
195.6228	5.232691271154317e-18
195.62372	5.3801769510646944e-18
195.66063	5.473818010181518e-18
195.66155	5.262335404024541e-18
195.66248	5.17887073210722e-18
195.6634	5.345143274467205e-18
195.66432	5.770305809955433e-18
195.66524	6.3080913073535724e-18
195.66617	6.822101792115706e-18
195.66709	7.14837248112448e-18
195.66801	6.973999027049334e-18
195.66894	6.2604287860414274e-18
195.66986	5.390443291699128e-18
195.71141	2.923225741787136e-18
195.71233	3.2044059522947505e-18
195.71325	3.64281624011892e-18
195.77145	3.826451032518659e-18
195.77237	4.020978426016793e-18
195.77329	4.447921295575283e-18
195.77422	5.06223731247919e-18
195.77514	5.792590304751846e-18
195.77607	6.381080528934312e-18
195.77699	6.531924381832058e-18
195.77791	6.1983193528064584e-18
195.78346	5.5851930185836806e-18
195.78438	5.553349754072284e-18
195.83892	3.9701504785308325e-18
195.83985	3.856177719546835e-18
195.84077	3.4356426468537176e-18
195.8417	2.8107864295743843e-18
195.85187	4.5982584909012736e-18
195.85279	4.536258365889064e-18
195.85372	4.360421556061944e-18
195.93328	8.72103828314144e-18
195.93606	7.547250163918982e-18
195.93698	6.4851135543218916e-18
195.93791	5.7886100285678465e-18
195.93883	5.668707668822461e-18
195.93976	5.963525547786014e-18
195.94068	6.459659349889258e-18
195.94161	6.798511916934709e-18
195.94253	6.748544240876158e-18
195.94346	6.508641348767441e-18
195.94439	6.525080248685486e-18
195.94531	6.966822212758227e-18
195.94624	7.661325583101977e-18
195.94716	8.243499850412549e-18
195.94809	8.254604315540034e-18
195.94901	7.57875526095201e-18
195.94994	6.752554316194782e-18
195.95087	6.3695319028587665e-18
195.95179	6.6857282263942575e-18
195.95272	7.774292329925715e-18
195.95364	9.132764349367604e-18
195.95457	1.0105198692472059e-17
195.95549	1.0359305367827797e-17
195.95642	1.0439218224286267e-17
195.95735	1.0656767346021212e-17
195.95827	1.0712153250185369e-17
195.9592	1.0342458466270942e-17
195.96012	9.71782025038215e-18
195.96105	9.037488768844365e-18
195.96197	8.647511940731552e-18
195.9629	8.447234314429857e-18
195.96383	8.436246181184737e-18
195.96475	8.44556851816469e-18
195.96568	8.217493377589428e-18
195.9666	7.647096920610291e-18
195.97123	7.195543090096966e-18
195.97216	8.292339521332364e-18
195.97308	9.585634307499541e-18
195.97401	1.0725820490808575e-17
195.97494	1.1216171765597273e-17
195.97586	1.0950964711372627e-17
195.97679	1.0099454785983352e-17
195.97771	9.256596955462732e-18
195.97864	8.402813232483918e-18
195.97957	7.506711973082199e-18
195.98049	6.674813449997096e-18
195.98142	6.106746879065039e-18
195.98234	5.857605243070116e-18
195.98512	6.953082779893144e-18
195.98605	7.696392146503296e-18
195.98697	8.31265901446554e-18
195.9879	8.64047892219106e-18
195.99716	9.81470719897048e-18
195.99809	9.921626236050318e-18
195.99901	9.572501791185885e-18
195.99994	8.902900093011877e-18
196.00087	8.402455681130456e-18
196.00364	9.24246926890182e-18
196.00457	9.763177142230075e-18
196.0546	1.0380872050240853e-17
196.05552	1.0487219748310468e-17
196.05645	1.0933666392298592e-17
196.05738	1.1774900508048804e-17
196.0583	1.3107523732074257e-17
196.07499	1.19988644595791e-17
196.07962	1.0391265937801156e-17
196.08055	1.166471669169897e-17
196.08147	1.2954474592850376e-17
196.0824	1.4157194310382454e-17
196.10465	1.3275028184209508e-17
196.10558	1.1001430502738141e-17
196.10651	9.975046084520571e-18
196.10743	9.983752245092533e-18
196.10836	1.0899950301817499e-17
196.10929	1.2692981513610189e-17
196.11485	1.6299949715229827e-17
196.11578	1.2826085169656794e-17
196.1167	1.1616849517766799e-17
196.1436	1.0280000267956518e-17
196.14453	1.1271668452076577e-17
196.14545	1.2207371839697837e-17
196.14638	1.2907184810441986e-17
196.14731	1.339587178577578e-17
196.14824	1.3962037953043163e-17
196.14916	1.4728192470507997e-17
196.15566	1.146867133777966e-17
196.15658	1.105010648239957e-17
196.16215	1.4587610528193355e-17
196.16772	1.3840989351087391e-17
196.16864	1.328922430283598e-17
196.16957	1.2722264546818708e-17
196.17143	1.2172928354146034e-17
196.17236	1.216992019990242e-17
196.17885	9.477305829488248e-18
196.17978	9.1390350534656e-18
196.18071	8.85309671513181e-18
196.18163	8.419228744439685e-18
196.18256	8.009560513150312e-18
196.18349	7.770154424930558e-18
196.18442	7.92368184572038e-18
196.18535	8.410607647497238e-18
196.18627	9.140492464886248e-18
196.1872	1.0035941174166089e-17
196.20019	1.3992379518092968e-17
196.20112	1.389720865343313e-17
196.20762	1.020539941188339e-17
196.20855	9.591306940269497e-18
196.20947	9.123682672080514e-18
196.2104	8.839503546842432e-18
196.21133	8.749765684167536e-18
196.21226	8.99779770839816e-18
196.21319	9.508638446648597e-18
196.21411	1.0177190656916699e-17
