Wavelength	Xsec_6
192.60254	9.73179091389711e-18
192.60343	9.754932161349023e-18
192.60433	9.254353553143944e-18
192.821	8.1037458202164e-18
192.82638	6.0887633486839e-18
192.82728	7.111610599465729e-18
192.82817	8.189889476685786e-18
192.82907	9.43166572876824e-18
192.82996	1.0512154283473482e-17
192.83086	1.0779066970935077e-17
192.83176	1.0073522809205019e-17
192.83265	8.94738323022533e-18
192.83355	7.633983423365407e-18
192.83445	6.304520480813064e-18
192.847	8.852025641097108e-18
193.46493	1.1205831159391389e-17
193.46584	9.640652005424735e-18
193.65823	7.14819078550427e-18
193.65913	6.973423876952318e-18
193.66004	6.94997546986556e-18
193.66094	7.194801004391318e-18
193.66185	7.601651042908039e-18
193.66275	7.900945887455122e-18
193.66365	7.815819307051434e-18
193.66456	7.100163834725489e-18
193.66546	6.261207054348567e-18
193.66637	5.460301058429215e-18
193.66727	4.779699730576302e-18
193.76407	8.570007303217188e-18
193.76498	8.682221723689845e-18
193.8193	7.035111284839707e-18
193.82021	6.3433557417908185e-18
193.82111	5.257840299784522e-18
193.82202	4.493790342721924e-18
193.94799	3.649627111230987e-18
193.9489	4.927574982621152e-18
193.94981	5.680729528773146e-18
194.07322	9.968527576334879e-18
194.07413	1.0287674513518277e-17
194.07504	8.935881149068094e-18
194.31415	7.112057756571411e-18
194.31506	7.045329031291227e-18
194.35239	8.926228625078619e-18
194.35694	9.851724074328247e-18
194.35785	8.98903990286969e-18
194.35876	8.662292975131606e-18
194.35967	8.938032169742638e-18
194.36058	9.534127641221826e-18
194.36149	9.947381925369185e-18
194.36241	9.548331429610448e-18
194.36332	8.358433748867193e-18
194.36787	8.006055051677136e-18
194.36878	9.4871828679297e-18
194.47905	7.193403048112948e-18
194.47996	7.1215554395639e-18
194.48087	7.000897550452001e-18
194.48179	7.195008254582371e-18
194.6351	1.1272617390217887e-17
194.78865	9.415453999167795e-18
194.78957	1.0761285899659613e-17
194.79048	1.1891612183755977e-17
