Wavelength	Xsec_5
191.08441	2.6545650573846595e-18
191.75312	3.0845147865080453e-18
192.60164	2.701252643707563e-18
192.60254	2.6785881908776983e-18
192.82279	2.966298465818916e-18
192.82369	2.762887297193455e-18
192.82459	2.54886197122602e-18
192.82548	2.3982265071943897e-18
192.83983	2.5411095978842357e-18
192.84072	2.6094998809882267e-18
193.50555	3.1107182181134012e-18
193.50645	3.98395079492745e-18
193.51277	2.494970246940411e-18
193.51367	2.4154296111699505e-18
193.51458	2.4422475064975887e-18
193.51548	2.5550173471996886e-18
193.76407	1.9074167894251217e-18
193.76588	1.9483448383426037e-18
193.76679	2.0638666707600413e-18
193.82293	3.4325667336675446e-18
193.82383	3.1477746362208648e-18
193.94799	2.7154752239894287e-18
194.06232	3.1814409226835704e-18
194.06323	3.0063815171232623e-18
194.06414	2.776409461207746e-18
194.06505	2.592800900360093e-18
194.06596	2.4820549643804442e-18
194.07504	2.7696989169897224e-18
194.07594	2.6414997633600773e-18
194.07685	2.7597255582546202e-18
194.07776	3.0348560474000967e-18
194.08775	3.599283263962551e-18
194.36149	3.614006089089069e-18
194.36241	3.5655130162390806e-18
194.36332	3.606004489597634e-18
194.37333	3.324090919800151e-18
194.47449	3.009383113647284e-18
194.51279	3.797763643127801e-18
194.62962	2.83940890322892e-18
194.63327	3.118308794279441e-18
194.63419	3.4233155600452855e-18
194.6351	3.545565677844705e-18
194.66524	3.818201040390075e-18
194.66616	3.4521388950656543e-18
194.66707	3.4339308611560847e-18
194.70636	3.756848664229775e-18
194.70728	3.9389974077104124e-18
194.83166	3.0266708919372566e-18
194.83257	3.0936060750372212e-18
195.08456	3.1988653018186986e-18
195.09649	3.023149079051654e-18
195.09741	2.6474133463309116e-18
195.09833	2.5393372431076814e-18
195.09925	2.6861346466923454e-18
195.10016	2.9414009079455363e-18
195.10108	3.1854779997114245e-18
195.10751	3.3292467059607925e-18
195.31054	4.370199919513872e-18
195.31146	4.315370497230779e-18
195.31422	3.9091479568433396e-18
195.31513	3.691408843932547e-18
