Wavelength	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
190.0008	0.000803125000 	0.000283647000 	0.000553425000 	0.000087654600 	0.000124509000 	0.000473283000 
190.00167	0.000723885000 	0.000370585000 	0.000518971000 	0.000152429000 	0.000147830000 	0.000341425000 
190.00254	0.000656562000 	0.000462227000 	0.000495975000 	0.000237745000 	0.000189848000 	0.000261618000 
190.00341	0.000594634000 	0.000518246000 	0.000473831000 	0.000319027000 	0.000198238000 	0.000239411000 
190.00428	0.000535937000 	0.000530817000 	0.000443260000 	0.000392754000 	0.000162420000 	0.000233324000 
190.00515	0.000488403000 	0.000511919000 	0.000405131000 	0.000432214000 	0.000223267000 	0.000248742000 
190.00602	0.000471063000 	0.000482108000 	0.000370710000 	0.000420144000 	0.000254427000 	0.000296608000 
190.0069	0.000503357000 	0.000458131000 	0.000353932000 	0.000382319000 	0.000262157000 	0.000363643000 
190.00777	0.000581719000 	0.000441843000 	0.000359744000 	0.000362005000 	0.000286103000 	0.000433813000 
190.00864	0.000677312000 	0.000422316000 	0.000383099000 	0.000355422000 	0.000296846000 	0.000500765000 
190.00951	0.000757793000 	0.000390634000 	0.000424113000 	0.000354519000 	0.000310679000 	0.000543606000 
190.01038	0.000801767000 	0.000357961000 	0.000481219000 	0.000359438000 	0.000333020000 	0.000530598000 
190.01125	0.000803755000 	0.000357215000 	0.000538654000 	0.000363672000 	0.000336739000 	0.000466622000 
190.01212	0.000776373000 	0.000374717000 	0.000585133000 	0.000362441000 	0.000315332000 	0.000394728000 
190.01299	0.000747097000 	0.000381747000 	0.000611653000 	0.000359710000 	0.000268557000 	0.000358001000 
190.01386	0.000736354000 	0.000373022000 	0.000610581000 	0.000355551000 	0.000205113000 	0.000360101000 
190.01473	0.000729207000 	0.000354453000 	0.000583584000 	0.000341565000 	0.000149817000 	0.000393695000 
190.0156	0.000698557000 	0.000331409000 	0.000543456000 	0.000314168000 	0.000119497000 	0.000446632000 
190.01647	0.000655514000 	0.000313566000 	0.000508277000 	0.000275832000 	0.000114460000 	0.000485251000 
190.01734	0.000637656000 	0.000324813000 	0.000484622000 	0.000244933000 	0.000167475000 	0.000483084000 
190.01821	0.000653946000 	0.000353535000 	0.000455005000 	0.000239215000 	0.000224648000 	0.000443237000 
190.01908	0.000695111000 	0.000377142000 	0.000401004000 	0.000268804000 	0.000265391000 	0.000403030000 
190.01995	0.000746814000 	0.000387516000 	0.000324040000 	0.000380193000 	0.000278902000 	0.000405525000 
190.02082	0.000789671000 	0.000376379000 	0.000241532000 	0.000524658000 	0.000262255000 	0.000443732000 
190.02169	0.000813417000 	0.000342781000 	0.000185757000 	0.000631660000 	0.000221495000 	0.000478448000 
190.02256	0.000821447000 	0.000300399000 	0.000195911000 	0.000651367000 	0.000170252000 	0.000498792000 
190.02343	0.000814065000 	0.000272632000 	0.000268209000 	0.000572833000 	0.000123290000 	0.000534812000 
190.0243	0.000785149000 	0.000279744000 	0.000360403000 	0.000425147000 	0.000092392100 	0.000604802000 
190.02517	0.000736923000 	0.000323885000 	0.000427707000 	0.000260401000 	0.000108559000 	0.000670796000 
190.02605	0.000677959000 	0.000393969000 	0.000454155000 	0.000138911000 	0.000179090000 	0.000695833000 
190.02692	0.000612554000 	0.000464165000 	0.000457699000 	0.000112397000 	0.000276133000 	0.000684402000 
190.02779	0.000544058000 	0.000509968000 	0.000466080000 	0.000147722000 	0.000370074000 	0.000686553000 
190.02866	0.000485397000 	0.000527486000 	0.000474397000 	0.000214153000 	0.000423032000 	0.000726610000 
190.02953	0.000452834000 	0.000538005000 	0.000454517000 	0.000287877000 	0.000409978000 	0.000766178000 
190.0304	0.000447957000 	0.000558924000 	0.000393416000 	0.000348059000 	0.000339224000 	0.000780382000 
190.03127	0.000463825000 	0.000574385000 	0.000318270000 	0.000372717000 	0.000250872000 	0.000764482000 
190.03214	0.000497190000 	0.000559932000 	0.000276365000 	0.000350367000 	0.000190882000 	0.000724461000 
190.03301	0.000542401000 	0.000508234000 	0.000265898000 	0.000316571000 	0.000174940000 	0.000676007000 
190.03388	0.000587253000 	0.000439041000 	0.000263659000 	0.000346514000 	0.000184252000 	0.000639676000 
190.03475	0.000619203000 	0.000397070000 	0.000255017000 	0.000348191000 	0.000192280000 	0.000633971000 
190.03562	0.000634459000 	0.000376871000 	0.000273823000 	0.000324936000 	0.000185248000 	0.000665072000 
