wavelength	dark	noise	dark+noise
203.25806	0.000066519800 	0.000033135200 	0.000099655000 
203.25905	0.000051861600 	0.000033234600 	0.000085096200 
203.26005	0.000026797800 	0.000033250300 	0.000060048100 
203.26105	0.000035018100 	0.000033283900 	0.000068302000 
203.26204	0.000072630300 	0.000033303800 	0.000105934000 
203.26304	0.000096654600 	0.000033320700 	0.000129975000 
203.26403	0.000096554700 	0.000033670200 	0.000130225000 
203.26503	0.000078320300 	0.000034076500 	0.000112397000 
203.26603	0.000070686100 	0.000034185700 	0.000104872000 
203.26702	0.000091483300 	0.000034187300 	0.000125671000 
203.26802	0.000115083000 	0.000034236200 	0.000149319000 
203.26902	0.000129323000 	0.000034536400 	0.000163859000 
203.27001	0.000135206000 	0.000034961700 	0.000170168000 
203.27101	0.000138384000 	0.000035320700 	0.000173705000 
203.272	0.000140167000 	0.000035620300 	0.000175787000 
203.273	0.000139678000 	0.000035799700 	0.000175478000 
203.274	0.000135422000 	0.000035972400 	0.000171394000 
203.27499	0.000126777000 	0.000036279900 	0.000163057000 
203.27599	0.000115889000 	0.000036565700 	0.000152455000 
203.27698	0.000107200000 	0.000036620400 	0.000143821000 
203.27798	0.000105055000 	0.000036487000 	0.000141542000 
203.27898	0.000109277000 	0.000036224700 	0.000145502000 
203.27997	0.000114022000 	0.000035957600 	0.000149980000 
203.28097	0.000114300000 	0.000035872500 	0.000150173000 
203.28197	0.000109328000 	0.000036505200 	0.000145833000 
203.28296	0.000098007000 	0.000037339800 	0.000135347000 
203.28396	0.000077092200 	0.000037815200 	0.000114907000 
203.28495	0.000052517000 	0.000037907500 	0.000090424500 
203.28595	0.000049432900 	0.000037908800 	0.000087341700 
203.28695	0.000052169200 	0.000037897400 	0.000090066600 
203.28794	0.000057860400 	0.000037714600 	0.000095575000 
203.28894	0.000069729600 	0.000037563000 	0.000107293000 
203.28994	0.000083348600 	0.000037680200 	0.000121029000 
203.29093	0.000087453600 	0.000037499600 	0.000124953000 
203.29193	0.000082851400 	0.000036664300 	0.000119516000 
203.29292	0.000076630900 	0.000035348400 	0.000111979000 
203.29392	0.000085389600 	0.000034030100 	0.000119420000 
203.29492	0.000089091200 	0.000033127800 	0.000122219000 
203.29591	0.000070852600 	0.000032814000 	0.000103667000 
203.29691	0.000043456600 	0.000032883600 	0.000076340200 
203.29791	0.000022124000 	0.000033007800 	0.000055131800 
203.2989	0.000052629300 	0.000033045300 	0.000085674600 
203.2999	0.000084558400 	0.000033102600 	0.000117661000 
203.3009	0.000105092000 	0.000033209800 	0.000138302000 
203.30189	0.000115033000 	0.000033322400 	0.000148355000 
203.30289	0.000114736000 	0.000033415200 	0.000148151000 
203.30389	0.000099776600 	0.000033444400 	0.000133221000 
203.30488	0.000077839500 	0.000033403700 	0.000111243000 
203.30588	0.000073860400 	0.000033528500 	0.000107389000 
203.30687	0.000082783400 	0.000033710400 	0.000116494000 
203.30787	0.000078269300 	0.000033684100 	0.000111953000 
203.30887	0.000066128800 	0.000033508400 	0.000099637200 
203.30986	0.000082018100 	0.000033181500 	0.000115200000 
203.31086	0.000110110000 	0.000032337100 	0.000142447000 
203.31186	0.000109325000 	0.000031622900 	0.000140948000 
203.31285	0.000081562800 	0.000031519100 	0.000113082000 
203.31385	0.000044216100 	0.000031600000 	0.000075816100 
203.31485	0.000038691800 	0.000031707300 	0.000070399100 
203.31584	0.000060917700 	0.000031720600 	0.000092638300 
203.31684	0.000080894400 	0.000031622400 	0.000112517000 
203.31784	0.000110057000 	0.000031621300 	0.000141678000 
203.31883	0.000137533000 	0.000031599700 	0.000169133000 
203.31983	0.000147358000 	0.000031503600 	0.000178861000 
203.32083	0.000143989000 	0.000031441900 	0.000175430000 
203.32182	0.000140178000 	0.000031582800 	0.000171761000 
203.32282	0.000146664000 	0.000031941800 	0.000178606000 
203.32382	0.000158761000 	0.000032274700 	0.000191036000 
203.32481	0.000162824000 	0.000032390200 	0.000195215000 
203.32581	0.000152253000 	0.000032347600 	0.000184600000 
203.32681	0.000131455000 	0.000032364800 	0.000163820000 
203.3278	0.000113418000 	0.000032651800 	0.000146070000 
203.3288	0.000100492000 	0.000032868000 	0.000133359000 
203.3298	0.000088899700 	0.000033053000 	0.000121953000 
203.33079	0.000130700000 	0.000033271800 	0.000163972000 
203.33179	0.000169519000 	0.000033669300 	0.000203188000 
203.33279	0.000181051000 	0.000034347600 	0.000215399000 
203.33378	0.000164657000 	0.000034892800 	0.000199550000 
203.33478	0.000130764000 	0.000035100800 	0.000165864000 
203.33578	0.000098757200 	0.000034965300 	0.000133722000 
203.33677	0.000089300100 	0.000034742900 	0.000124043000 
203.33777	0.000103780000 	0.000034486200 	0.000138266000 
203.33877	0.000123400000 	0.000034249900 	0.000157650000 
203.33976	0.000133217000 	0.000034121600 	0.000167338000 
203.34076	0.000130805000 	0.000034084400 	0.000164889000 
203.34176	0.000117989000 	0.000034060200 	0.000152050000 
203.34275	0.000098925100 	0.000034014600 	0.000132940000 
203.34375	0.000085667300 	0.000033935400 	0.000119603000 
203.34475	0.000096846900 	0.000033939500 	0.000130786000 
203.34575	0.000121702000 	0.000034031400 	0.000155733000 
203.34674	0.000137873000 	0.000034041900 	0.000171915000 
203.34774	0.000134192000 	0.000033558100 	0.000167750000 
203.34874	0.000119040000 	0.000032650600 	0.000151691000 
203.34973	0.000120749000 	0.000032275000 	0.000153024000 
203.35073	0.000126856000 	0.000032396900 	0.000159253000 
203.35173	0.000128243000 	0.000033076200 	0.000161320000 
203.35272	0.000126528000 	0.000033190500 	0.000159718000 
203.35372	0.000116990000 	0.000033184500 	0.000150174000 
203.35472	0.000097031900 	0.000033313800 	0.000130346000 
203.35571	0.000060977400 	0.000033281100 	0.000094258500 
203.35671	0.000057641300 	0.000033179800 	0.000090821100 
203.35771	0.000075989500 	0.000033147400 	0.000109137000 
203.35871	0.000102585000 	0.000033072500 	0.000135658000 
