Wavelength	Xsec_Ave	STTDEV_Xsec_Ave
190.4527		
190.45358		
190.45445		
190.45533		
190.4562		
190.45708		
190.45795		
190.45883		
190.4597		
190.46057		
190.46145		
190.46232		
190.4632		
190.46407		
190.46495		
190.46582		
190.4667		
190.46757		
190.46845		
190.46932		
190.47019		
190.47107		
190.47194		
190.47282		
190.47369		
190.47457		
190.47544		
190.47632		
190.47719		
190.47807		
190.47894		
190.47982		
190.48069		
190.48157		
190.48244		
190.48331		
190.48419		
190.48506		
190.48594		
190.48681		
190.48769		
190.48856		
190.48944		
190.49031		
190.49119		
190.49206		
190.49294		
190.49381		
190.49469		
190.49556		
190.49644		
190.49731		
190.49819		
190.49906		
190.49994		
190.50081		
190.50169		
190.50256		
190.50344		
190.50431		
190.50519		
190.50606		
190.50694		
190.50781		
190.50869		
190.50956		
190.51044		
190.51131		
190.51219		
190.51306		
190.51394		
190.51481		
190.51569		
190.51656		
190.51744		
190.51831		
190.51919		
190.52006		
190.52094		
190.52181		
190.52269		
190.52356		
190.52444		
190.52531		
190.52619		
190.52706		
190.52794		
190.52881		
190.52969		
190.53056		
190.53144		
190.53231		
190.53319		
190.53406		
190.53494		
190.53581		
190.53669		
190.53757		
190.53844		
190.53932		
190.54019		
190.54107		
190.54194		
190.54282		
190.54369		
190.54457		
190.54544		
190.54632		
190.54719		
190.54807		
190.54894		
190.54982		
190.55069		
190.55157		
190.55245		
190.55332		
190.5542		
190.55507		
190.55595		
190.55682		
190.5577		
190.55857		
190.55945		
190.56032		
190.5612		
190.56208		
190.56295		
190.56383		
190.5647		
190.56558		
190.56645		
190.56733		
190.5682		
190.56908		
190.56995		
190.57083		
190.57171		
190.57258		
190.57346		
190.57433		
190.57521		
190.57608		
190.57696		
190.57784		
190.57871		
190.57959		
190.58046		
190.58134		
190.58221		
190.58309		
190.58396		
190.58484		
190.58572		
190.58659		
190.58747		
190.58834		
190.58922		
190.59009		
190.59097		
190.59185		
190.59272		
190.5936		
190.59447		
190.59535		
190.59622		
190.5971		
190.59798		
190.59885		
190.59973	6.103290892453012e-18	
190.6006	5.661615143843073e-18	
190.60148		
190.60236		
190.60323		
190.60411		
190.60498		
190.60586		
190.60673		
190.60761		
190.60849		
190.60936		
190.61024		
190.61111		
190.61199		
190.61287		
190.61374		
190.61462		
190.61549		
190.61637		
190.61725		
190.61812		
190.619		
190.61987		
190.62075		
190.62163		
190.6225		
190.62338		
190.62425		
190.62513		
190.62601		
190.62688		
190.62776		
190.62863		
190.62951		
190.63039		
190.63126		
190.63214		
190.63302		
190.63389		
190.63477		
190.63564		
190.63652		
190.6374		
190.63827		
190.63915		
190.64002		
190.6409		
190.64178		
190.64265		
190.64353		
190.64441		
190.64528		
190.64616		
190.64703		
190.64791		
190.64879		
190.64966		
190.65054		
190.65142		
190.65229		
190.65317		
190.65404		
190.65492		
190.6558		
190.65667		
190.65755		
190.65843		
190.6593		
190.66018		
190.66106		
190.66193		
190.66281		
190.66368		
190.66456		
190.66544		
190.66631		
190.66719		
190.66807		
190.66894		
190.66982		
190.6707		
190.67157		
190.67245		
190.67333		
190.6742		
190.67508		
190.67595		
190.67683		
190.67771		
190.67858		
190.67946		
190.68034		
190.68121		
190.68209		
190.68297		
190.68384		
190.68472		
190.6856		
190.68647		
190.68735		
190.68823		
190.6891		
190.68998		
190.69086		
190.69173		
190.69261		
190.69349		
190.69436		
190.69524		
190.69612		
190.69699		
190.69787		
190.69875		
190.69962		
190.7005		
190.70138		
190.70225		
190.70313		
190.70401		
190.70488		
190.70576		
190.70664		
190.70751		
190.70839		
190.70927		
190.71015		
190.71102		
190.7119		
190.71278		
190.71365		
190.71453		
190.71541		
